NH - Permitting Responsibility,Project Name,Project ID,Project State,Process Step Name,Process Step ID,NH - Permit Pack Type,Permit Application Submitted Date,Permit Application Submitted By,NH - Permit Pickup Verified Date,NH - Permit Pickup Verified By,Permit Rejection Recorded Date,Permit Rejection Recorded By,Permit Rejection Details,AHJ,Utility Company,Tick Counter,Process Step Created,Process Step Completed,Process Step Status
,Southcreek (PA12) - Tract - 37389-4 - Lot 74,1463594,CA,NHO - F - Permitting,16012101,,2/11/2026 18:49,Jared Nast,3/17/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,2/9/2026 22:11,3/17/2026 22:46,Permit Pickup Complete
,Cotino - Lot 80,1439402,CA,NHO - F - Permitting,16030181,,3/12/2026 18:15,Jared Nast,3/16/2026,Jared Nast,,,,Rancho Mirage City,Southern California Edison (SCE),,3/10/2026 22:40,3/16/2026 22:27,Permit Pickup Complete
,Palo Verde - Hesperia - Lot 03,1165105,CA,NHO - F - Permitting,16031477,,3/13/2026 17:51,Melvin Garcia,3/13/2026,Melvin Garcia,,,,Hesperia City,Southern California Edison (SCE),,3/13/2026 17:46,3/13/2026 21:03,Permit Pickup Complete
,Palo Verde - Hesperia - Lot 02,1165116,CA,NHO - F - Permitting,16031478,,3/13/2026 17:51,Melvin Garcia,3/13/2026,Melvin Garcia,,,,Hesperia City,Southern California Edison (SCE),,3/13/2026 17:46,3/13/2026 21:03,Permit Pickup Complete
,Terra Sol II - Tract #6455-1 - Lot 33,1098438,CA,NHO - F - Permitting,16022362,,2/24/2026 16:23,Jared Nast,3/12/2026,Jared Nast,,,,Kern County,Southern California Edison (SCE),,2/24/2026 15:44,3/12/2026 22:02,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 13, Unit 93",1165339,CA,NHO - F - Permitting,15976873,,12/30/2025 17:00,Nikki Francisco,3/12/2026,Jared Nast,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:18,3/12/2026 19:01,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 13, Unit 90",1165349,CA,NHO - F - Permitting,15976946,,12/30/2025 16:00,Nikki Francisco,3/12/2026,Jared Nast,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:25,3/12/2026 19:01,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 13, Unit 95",1165394,CA,NHO - F - Permitting,15976950,,12/30/2025 17:00,Nikki Francisco,3/12/2026,Jared Nast,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:25,3/12/2026 19:01,Permit Pickup Complete
,Shell #1 [Kevin Test Builder-Systems],1463676,UT,NHO - F - Permitting,16030757,,3/11/2026 22:53,Aaron DeSilva,3/11/2026,Alana Zanello,,,,,,,3/11/2026 22:49,3/11/2026 22:53,Permit Pickup Complete
Builder,Dublin Shophouses - Bldg. 27 - Lot 190,1463567,CA,NHO - F - Permitting,16011158,MPPP w/Builder Plan,3/4/2026 17:31,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/9/2026 15:50,3/4/2026 17:32,Permit Pickup Complete
Builder,Dublin Shophouses - Bldg. 27 - Lot 191,1463568,CA,NHO - F - Permitting,16010948,MPPP w/Builder Plan,3/4/2026 17:30,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/6/2026 23:48,3/4/2026 17:31,Permit Pickup Complete
,Dublin Shophouses - Bldg. 27 - Lot 192,1463569,CA,NHO - F - Permitting,16011830,,3/4/2026 17:32,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/9/2026 20:32,3/4/2026 17:33,Permit Pickup Complete
,Dublin Shophouses - Bldg. 28 - Lot 193,1463570,CA,NHO - F - Permitting,16015490,,3/4/2026 22:31,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/12/2026 22:21,3/4/2026 22:32,Permit Pickup Complete
,Dublin Shophouses - Bldg. 28 - Lot 194,1463571,CA,NHO - F - Permitting,16015494,,3/4/2026 17:56,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/12/2026 22:22,3/4/2026 17:57,Permit Pickup Complete
,Dublin Shophouses - Bldg. 28 - Lot 195,1463572,CA,NHO - F - Permitting,16015500,,3/4/2026 17:57,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/12/2026 22:22,3/4/2026 17:58,Permit Pickup Complete
,Dublin Shophouses - Bldg. 29 - Lot 196,1463573,CA,NHO - F - Permitting,16019038,,3/4/2026 17:40,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/18/2026 22:31,3/4/2026 17:41,Permit Pickup Complete
,Dublin Shophouses - Bldg. 29 - Lot 197,1463574,CA,NHO - F - Permitting,16015537,,3/4/2026 17:40,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/12/2026 22:50,3/4/2026 17:41,Permit Pickup Complete
,Dublin Shophouses - Bldg. 30 - Lot 198,1463575,CA,NHO - F - Permitting,16015346,,3/4/2026 17:45,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/12/2026 21:12,3/4/2026 17:46,Permit Pickup Complete
,Dublin Shophouses - Bldg. 30 - Lot 199,1463576,CA,NHO - F - Permitting,16015336,,3/4/2026 17:46,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/12/2026 21:12,3/4/2026 17:46,Permit Pickup Complete
,Dublin Shophouses - Bldg. 30 - Lot 200,1463577,CA,NHO - F - Permitting,16015340,,3/4/2026 17:46,Jared Nast,3/4/2026,Jared Nast,,,,Dublin City,Pacific Gas & Electric Co. (PG&E),,2/12/2026 21:12,3/4/2026 17:46,Permit Pickup Complete
,Cotino - Lot 217,1320637,CA,NHO - F - Permitting,16024060,,2/27/2026 15:43,Jared Nast,3/3/2026,Jared Nast,,,,Rancho Mirage City,Southern California Edison (SCE),,2/27/2026 15:24,3/3/2026 23:35,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 13,1451598,CA,NHO - F - Permitting,15954407,,1/22/2026 15:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/9/2025 8:11,3/3/2026 19:13,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 59,1451599,CA,NHO - F - Permitting,15963357,,1/22/2026 19:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/15/2025 0:45,3/3/2026 19:13,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 58,1451600,CA,NHO - F - Permitting,15960741,,1/22/2026 19:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/12/2025 6:41,3/3/2026 19:13,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 08,1451601,CA,NHO - F - Permitting,15958613,,1/22/2026 15:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/11/2025 6:21,3/3/2026 19:13,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 09,1451602,CA,NHO - F - Permitting,15958662,,1/21/2026 23:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/11/2025 10:44,3/3/2026 19:14,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 10,1451603,CA,NHO - F - Permitting,15954365,,1/21/2026 23:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/9/2025 6:12,3/3/2026 19:13,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 11,1451604,CA,NHO - F - Permitting,15954361,,1/21/2026 23:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/9/2025 6:12,3/3/2026 19:13,Permit Pickup Complete
,Southcreek (PA12) - Tract - 37389-4 - Lot 12,1451605,CA,NHO - F - Permitting,15954371,,1/22/2026 15:00,Nikki Francisco,3/3/2026,Jared Nast,,,,Banning City,City of Banning Utilities,,12/9/2025 6:35,3/3/2026 19:13,Permit Pickup Complete
,Cota Vera (Haddington) - Lot 117,1412386,CA,NHO - F - Permitting,16017021,,2/17/2026 18:58,Melvin Garcia,3/2/2026,Melvin Garcia,,,,Chula Vista City,San Diego Gas & Electric (SDG&E),,2/16/2026 22:03,3/2/2026 18:27,Permit Pickup Complete
,Cota Vera (Haddington) - Lot 118,1412387,CA,NHO - F - Permitting,16017023,,2/17/2026 18:53,Melvin Garcia,3/2/2026,Melvin Garcia,,,,Chula Vista City,San Diego Gas & Electric (SDG&E),,2/16/2026 22:03,3/2/2026 18:27,Permit Pickup Complete
,Cota Vera (Haddington) - Lot 119,1412388,CA,NHO - F - Permitting,16017127,,2/17/2026 18:56,Melvin Garcia,3/2/2026,Melvin Garcia,,,,Chula Vista City,San Diego Gas & Electric (SDG&E),,2/16/2026 22:55,3/2/2026 18:27,Permit Pickup Complete
,Cota Vera (Haddington) - Lot 120,1412389,CA,NHO - F - Permitting,16016984,,2/17/2026 18:37,Melvin Garcia,3/2/2026,Melvin Garcia,,,,Chula Vista City,San Diego Gas & Electric (SDG&E),,2/16/2026 21:38,3/2/2026 18:27,Permit Pickup Complete
,Cota Vera (Haddington) - Lot 121,1412390,CA,NHO - F - Permitting,16016813,,2/17/2026 18:31,Melvin Garcia,3/2/2026,Melvin Garcia,,,,Chula Vista City,San Diego Gas & Electric (SDG&E),,2/16/2026 18:49,3/2/2026 18:27,Permit Pickup Complete
,Cota Vera (Haddington) - Lot 122,1412391,CA,NHO - F - Permitting,16016937,,2/17/2026 18:34,Melvin Garcia,3/2/2026,Melvin Garcia,,,,Chula Vista City,San Diego Gas & Electric (SDG&E),,2/16/2026 20:24,3/2/2026 18:27,Permit Pickup Complete
,Las Palmas - Lot 16,1461351,CA,NHO - F - Permitting,15905059,,2/10/2026 21:44,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/10/2025 4:16,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 17,1461352,CA,NHO - F - Permitting,15907465,,2/10/2026 21:45,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/10/2025 22:14,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 18,1461353,CA,NHO - F - Permitting,15908457,,2/10/2026 21:45,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/11/2025 5:53,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 19,1461354,CA,NHO - F - Permitting,15911027,,2/10/2026 21:45,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/12/2025 0:33,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 20,1461355,CA,NHO - F - Permitting,15935516,,2/10/2026 21:45,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/25/2025 6:35,2/27/2026 15:57,Permit Pickup Complete
,Las Palmas - Lot 21,1461356,CA,NHO - F - Permitting,15935512,,2/10/2026 21:46,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/25/2025 6:35,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 22,1461357,CA,NHO - F - Permitting,15935463,,2/10/2026 21:46,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/25/2025 4:58,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 23,1461358,CA,NHO - F - Permitting,15935309,,2/10/2026 21:46,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/25/2025 1:40,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 24,1461359,CA,NHO - F - Permitting,15935489,,2/10/2026 21:46,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/25/2025 6:04,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 25,1461360,CA,NHO - F - Permitting,15908473,,2/10/2026 21:46,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/11/2025 6:58,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 26,1461361,CA,NHO - F - Permitting,15935485,,2/10/2026 21:46,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/25/2025 6:04,2/27/2026 16:00,Permit Pickup Complete
,Las Palmas - Lot 27,1461362,CA,NHO - F - Permitting,15935530,,2/10/2026 21:46,Melvin Garcia,2/27/2026,Melvin Garcia,,,,City of Jurupa Valley,Southern California Edison (SCE),,11/25/2025 7:18,2/27/2026 16:01,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Lot 63,1463560,CA,NHO - F - Permitting,16023177,,2/25/2026 18:30,Melvin Garcia,2/25/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,2/25/2026 16:58,2/25/2026 18:53,Permit Pickup Complete
,Cotino - Lot 80,1439402,CA,NHO - F - Permitting,15998093,,2/5/2026 16:00,Nikki Francisco,2/24/2026,Jared Nast,,,,Rancho Mirage City,Southern California Edison (SCE),,1/22/2026 21:47,2/24/2026 23:10,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 25,1463497,CA,NHO - F - Permitting,16005073,,2/4/2026 16:58,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/30/2026 23:57,2/24/2026 15:34,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 26,1463498,CA,NHO - F - Permitting,16003901,,2/4/2026 17:01,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/29/2026 22:14,2/24/2026 15:34,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 27,1463499,CA,NHO - F - Permitting,16003906,,2/4/2026 17:03,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/29/2026 22:15,2/24/2026 15:34,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 28,1463500,CA,NHO - F - Permitting,16003910,,2/4/2026 17:04,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/29/2026 22:15,2/24/2026 15:34,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 29,1463501,CA,NHO - F - Permitting,16004101,,2/4/2026 17:05,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/29/2026 23:50,2/24/2026 15:35,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 30,1463502,CA,NHO - F - Permitting,16004097,,2/4/2026 17:07,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/29/2026 23:50,2/24/2026 15:36,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 31,1463503,CA,NHO - F - Permitting,16005089,,2/4/2026 17:08,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/31/2026 0:01,2/24/2026 15:37,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 32,1463504,CA,NHO - F - Permitting,16005106,,2/4/2026 17:09,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/31/2026 0:10,2/24/2026 15:37,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 33,1463505,CA,NHO - F - Permitting,16009785,,2/6/2026 17:07,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,2/5/2026 23:25,2/24/2026 15:38,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 34,1463506,CA,NHO - F - Permitting,16005503,,2/4/2026 17:11,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,2/2/2026 15:56,2/24/2026 15:38,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 35,1463507,CA,NHO - F - Permitting,16005450,,2/4/2026 17:12,Jared Nast,2/24/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,2/2/2026 15:25,2/24/2026 15:39,Permit Pickup Complete
,Oak Shade at Shadow Mountain (PA-B) - Tract 29835-4 - Lot 33,1180987,CA,NHO - F - Permitting,15999850,,1/26/2026 19:55,Melvin Garcia,2/23/2026,Melvin Garcia,,,,Menifee City,Southern California Edison (SCE),,1/26/2026 16:47,2/23/2026 17:26,Permit Pickup Complete
,Oak Shade at Shadow Mountain (PA-B) - Tract 29835-4 - Lot 01,1181053,CA,NHO - F - Permitting,15999857,,1/26/2026 19:49,Melvin Garcia,2/23/2026,Melvin Garcia,,,,Menifee City,Southern California Edison (SCE),,1/26/2026 16:49,2/23/2026 17:26,Permit Pickup Complete
SPWR,Adelanto 22 - Lot 22,1287660,CA,NHO - F - Permitting,15985343,MPPP w/iPlot,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 22:49,2/20/2026 0:12,Permit Pickup Complete
SPWR,Adelanto 22 - Lot 21,1287661,CA,NHO - F - Permitting,15984843,MPPP w/iPlot,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 19:21,2/20/2026 0:12,Permit Pickup Complete
,Adelanto 22 - Lot 19,1287692,CA,NHO - F - Permitting,15985073,,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 21:05,2/20/2026 0:12,Permit Pickup Complete
,Adelanto 22 - Lot 18,1287693,CA,NHO - F - Permitting,15984837,,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 19:21,2/20/2026 0:12,Permit Pickup Complete
,Adelanto 22 - Lot 17,1287694,CA,NHO - F - Permitting,15985167,,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 21:33,2/20/2026 0:12,Permit Pickup Complete
,Adelanto 22 - Lot 16,1287695,CA,NHO - F - Permitting,15984992,,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 20:29,2/20/2026 0:12,Permit Pickup Complete
SPWR,Adelanto 22 - Lot 15,1287696,CA,NHO - F - Permitting,15985071,MPPP w/iPlot,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 21:05,2/20/2026 0:12,Permit Pickup Complete
,Adelanto 22 - Lot 48,1295107,CA,NHO - F - Permitting,15985358,,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 22:56,2/20/2026 0:12,Permit Pickup Complete
,Adelanto 22 - Lot 36,1295108,CA,NHO - F - Permitting,15985345,,1/23/2026 15:00,Nikki Francisco,2/19/2026,Jared Nast,,,,City of Adelanto CA,Southern California Edison (SCE),,1/7/2026 22:49,2/20/2026 0:12,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 17,1421077,CA,NHO - F - Permitting,16013379,,2/11/2026 16:35,Jared Nast,2/19/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,2/10/2026 23:44,2/19/2026 18:13,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 16,1421078,CA,NHO - F - Permitting,16013171,,2/10/2026 22:29,Jared Nast,2/19/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,2/10/2026 21:56,2/19/2026 18:14,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 15,1421079,CA,NHO - F - Permitting,16012830,,2/10/2026 19:35,Jared Nast,2/19/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,2/10/2026 18:31,2/19/2026 18:15,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 14,1421080,CA,NHO - F - Permitting,16004948,,2/4/2026 16:47,Jared Nast,2/19/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/30/2026 22:52,2/19/2026 17:34,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 13,1421081,CA,NHO - F - Permitting,16004717,,2/4/2026 16:48,Jared Nast,2/19/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/30/2026 20:24,2/19/2026 17:34,Permit Pickup Complete
,Serenity Grove (FKA Paradise Ranch) - Lot 12,1421082,CA,NHO - F - Permitting,16004830,,2/4/2026 16:47,Jared Nast,2/19/2026,Jared Nast,,,,Chino Hills City,Southern California Edison (SCE),,1/30/2026 21:24,2/19/2026 17:33,Permit Pickup Complete
,Rosewood Moonstone Townhouse - Bldg. 18- Lot 1804,1167708,CA,NHO - F - Permitting,16010952,,2/9/2026 15:00,Nikki Francisco,2/12/2026,Jared Nast,,,,Morgan Hill City,Pacific Gas & Electric Co. (PG&E),,2/6/2026 23:49,2/12/2026 20:09,Permit Pickup Complete
,Rosewood Moonstone Townhouse - Bldg. 18- Lot 1801,1167709,CA,NHO - F - Permitting,16009699,,2/6/2026 15:00,Nikki Francisco,2/12/2026,Jared Nast,,,,Morgan Hill City,Pacific Gas & Electric Co. (PG&E),,2/5/2026 22:51,2/12/2026 20:09,Permit Pickup Complete
,Rosewood Moonstone Townhouse - Bldg. 18- Lot 1805,1167721,CA,NHO - F - Permitting,16009708,,2/6/2026 15:00,Nikki Francisco,2/12/2026,Jared Nast,,,,Morgan Hill City,Pacific Gas & Electric Co. (PG&E),,2/5/2026 22:54,2/12/2026 20:09,Permit Pickup Complete
,Rosewood Moonstone Townhouse - Bldg. 18- Lot 1802,1167729,CA,NHO - F - Permitting,16009207,,2/5/2026 19:00,Nikki Francisco,2/12/2026,Jared Nast,,,,Morgan Hill City,Pacific Gas & Electric Co. (PG&E),,2/5/2026 17:42,2/12/2026 20:09,Permit Pickup Complete
,Rosewood Moonstone Townhouse - Bldg. 18- Lot 1803,1167734,CA,NHO - F - Permitting,16010217,,2/6/2026 18:00,Nikki Francisco,2/12/2026,Jared Nast,,,,Morgan Hill City,Pacific Gas & Electric Co. (PG&E),,2/6/2026 17:42,2/12/2026 20:09,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 13, Unit 94",1165361,CA,NHO - F - Permitting,15976951,,12/30/2025 18:00,Nikki Francisco,2/10/2026,Jared Nast,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:25,2/10/2026 16:38,Permit Pickup Complete
,New Haven (FKA Row at New Haven) - Bldg. 8 - Unit 104,1217184,CA,NHO - F - Permitting,16013213,,2/10/2026 22:46,Melvin Garcia,2/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,2/10/2026 22:13,2/10/2026 22:48,Permit Pickup Complete
,New Haven (FKA Row at New Haven) - Bldg. 8 - Unit 102,1217188,CA,NHO - F - Permitting,16013217,,2/10/2026 22:46,Melvin Garcia,2/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,2/10/2026 22:14,2/10/2026 22:48,Permit Pickup Complete
,Petal at Florita (Magnolia - MFH) - Bldg. A - Unit 87,1463536,CA,NHO - F - Permitting,16011456,,2/10/2026 17:00,Melvin Garcia,2/10/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,2/9/2026 17:54,2/10/2026 17:06,Permit Pickup Complete
,Petal at Florita (Magnolia - MFH) - Bldg. A - Unit 88,1463537,CA,NHO - F - Permitting,16011462,,2/10/2026 17:00,Melvin Garcia,2/10/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,2/9/2026 17:55,2/10/2026 17:06,Permit Pickup Complete
,Petal at Florita (Magnolia - MFH) - Bldg. A - Unit 89,1463538,CA,NHO - F - Permitting,16011469,,2/10/2026 16:59,Melvin Garcia,2/10/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,2/9/2026 17:55,2/10/2026 17:06,Permit Pickup Complete
Builder,Petal at Florita (Magnolia - MFH) - Bldg. A - Unit 90,1463539,CA,NHO - F - Permitting,16011475,MPPP w/Builder Plan,2/10/2026 17:00,Melvin Garcia,2/10/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,2/9/2026 17:56,2/10/2026 17:06,Permit Pickup Complete
,Pacific Montera (Creekside II Encore) - Lot 79,1146712,CA,NHO - F - Permitting,16010581,,2/6/2026 20:00,Nikki Francisco,2/9/2026,Jared Nast,,,,Palmdale City,Southern California Edison (SCE),,2/6/2026 20:45,2/9/2026 21:38,Permit Pickup Complete
,Ironwood (Serenade II) - Tract 82830 - Lot 06 - 20 YEAR LEASE,1160873,CA,NHO - F - Permitting,16011233,,2/9/2026 21:07,Jared Nast,2/9/2026,Jared Nast,,,,Lancaster City,Southern California Edison (SCE),,2/9/2026 16:27,2/9/2026 21:20,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 12, Unit 88",1165343,CA,NHO - F - Permitting,15976937,,12/30/2025 18:00,Nikki Francisco,2/9/2026,Nikki Francisco,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:24,2/9/2026 16:11,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 13, Unit 96",1165344,CA,NHO - F - Permitting,15976952,,12/30/2025 17:00,Nikki Francisco,2/9/2026,Nikki Francisco,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:25,2/9/2026 16:03,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 13, Unit 91",1165348,CA,NHO - F - Permitting,15976948,,12/30/2025 17:00,Nikki Francisco,2/9/2026,Nikki Francisco,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:25,2/9/2026 16:39,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 12, Unit 86",1165357,CA,NHO - F - Permitting,15976939,,12/30/2025 17:00,Nikki Francisco,2/9/2026,Nikki Francisco,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:24,2/9/2026 15:53,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 12, Unit 85",1165393,CA,NHO - F - Permitting,15976940,,12/30/2025 18:00,Nikki Francisco,2/9/2026,Nikki Francisco,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:24,2/9/2026 16:09,Permit Pickup Complete
,"Gateway - Tract 16543 - Bldg. 12, Unit 81",1165422,CA,NHO - F - Permitting,15976935,,12/30/2025 18:00,Nikki Francisco,2/9/2026,Nikki Francisco,,,,El Cajon City,San Diego Gas & Electric (SDG&E),,12/29/2025 18:24,2/9/2026 16:07,Permit Pickup Complete
